City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,san patricio,28.017,-97.5169,39.53,30,30,6.85,US,1689535058
167,sappemeer,53.1642,6.7903,19.99,61,75,5.66,NL,1689535210
168,klaksvik,62.2266,-6.589,9.51,89,100,10.08,FO,1689534901
169,nemuro,43.3236,145.575,12.92,94,100,2.64,JP,1689535086
170,matane,48.8286,-67.522,19.39,92,100,3.02,CA,1689535211
171,walvis bay,-22.9575,14.5053,16.72,36,0,5.01,NA,1689535212
172,pont rouge,48.8833,-72.0825,20.16,98,100,2.57,CA,1689535212
173,palmer,42.1584,-72.3287,25.35,85,75,3.6,US,1689535048
174,kailua-kona,19.6406,-155.9956,27.93,76,20,3.09,US,1689535042
175,port lincoln,-34.7333,135.8667,8.73,73,0,3.09,AU,1689535213
176,sitka,57.0531,-135.33,15.94,88,100,2.57,US,1689535214
177,sao joao da barra,-21.6403,-41.0511,27.05,74,50,6.35,BR,1689535021
178,andalgala,-27.5819,-66.3165,15.45,38,0,3.18,AR,1689535215
179,ra's bayrut,33.9,35.4833,32.28,89,0,2.06,LB,1689535215
180,bredasdorp,-34.5322,20.0403,13.63,82,100,2.7,ZA,1689535093
181,mukalla,14.5425,49.1242,31.66,58,58,0.41,YE,1689535216
182,lagoa,39.05,-27.9833,19.94,72,100,5.55,PT,1689535217
183,port alfred,-33.5906,26.891,16.74,54,53,3.59,ZA,1689535091
184,bathurst,-33.4166,149.5806,6.22,97,20,1.48,AU,1689535218
185,holualoa,19.6228,-155.9522,25.86,76,20,3.09,US,1689535018
186,hirara,24.8,125.2833,27.92,94,75,2.57,JP,1689535218
187,inongo,-1.95,18.2667,25.07,53,15,0.91,CD,1689535219
188,owando,-0.4819,15.8999,26.83,60,63,0.93,CG,1689535219
189,nar'yan-mar,67.6713,53.087,16.02,83,31,4.11,RU,1689535220
190,backa topola,45.8152,19.6318,26.83,62,0,3.16,RS,1689535220
191,punta arenas,-53.15,-70.9167,3.95,87,75,1.54,CL,1689535094
192,rio grande,-32.035,-52.0986,15.06,61,8,5.78,BR,1689535121
193,mogadishu,2.0371,45.3438,25.04,81,56,8.21,SO,1689535221
194,college,64.8569,-147.8028,19.56,71,100,1.54,US,1689534903
195,cambria,35.5641,-121.0808,35.9,63,100,2.29,US,1689535222
196,zhanjiang,21.2815,110.3427,25.26,94,100,4.07,CN,1689535223
197,amga,60.8953,131.9608,9.32,98,20,0.57,RU,1689535223
198,channarayapatna,12.9044,76.3917,21.16,87,100,4.67,IN,1689535223
199,las palmas de gran canaria,28.0997,-15.4134,25.07,61,20,10.29,ES,1689535224
200,barra,-11.0894,-43.1417,31.24,33,0,3.34,BR,1689535224
201,nchelenge,-9.3451,28.734,20.26,58,3,2.73,ZM,1689535225
202,tofol,5.3248,163.0078,27.8,80,100,6.18,FM,1689535225
203,mossendjo,-2.9506,12.7261,26.24,54,69,1.27,CG,1689535226
204,itoman,26.1247,127.6694,28.43,86,75,8.75,JP,1689535226
205,khonsa,27.0167,95.5667,20.21,98,100,1.37,IN,1689535157
206,bilibino,68.0546,166.4372,22.5,42,11,1.16,RU,1689535061
207,tannum sands,-23.9504,151.3693,16.94,82,100,2.57,AU,1689535228
208,noumea,-22.2763,166.4572,21.11,99,92,5.45,NC,1689535228
209,itaituba,-4.2761,-55.9836,33.09,58,40,2.57,BR,1689535155
210,ambon,-3.6954,128.1814,25.49,95,75,2.06,ID,1689534967
211,katsuura,35.1333,140.3,24.39,93,100,2.87,JP,1689535229
212,aasiaat,68.7098,-52.8699,2.74,93,100,1.02,GL,1689534918
213,juan griego,11.0817,-63.9655,29.74,69,24,7.05,VE,1689535230
214,jijiga,9.35,42.8,20.28,61,8,6.44,ET,1689535231
215,port mathurin,-19.6833,63.4167,23.26,73,0,12.27,MU,1689535231
216,freetown,8.484,-13.2299,27.84,69,75,5.14,SL,1689535231
217,luena,-11.7833,19.9167,15.46,39,2,2.45,AO,1689535232
218,shipston on stour,52.0606,-1.6278,17.68,72,9,6.15,GB,1689535232
219,mangrol,21.1167,70.1167,27.9,82,25,4.96,IN,1689535233
220,champerico,14.3,-91.9167,35.3,64,100,3.49,GT,1689535233
221,salekhard,66.53,66.6019,16.67,71,34,4.23,RU,1689535233
222,chonchi,-42.6128,-73.8092,7.29,61,6,2.04,CL,1689535234
223,undurkhaan,47.3194,110.6556,20.13,42,78,2.32,MN,1689535234
224,kindu,-2.95,25.95,28.23,34,100,1.11,CD,1689535071
225,manokwari,-0.8667,134.0833,25.15,82,51,1.1,ID,1689535070
226,piet retief,-27.0071,30.8132,8.72,47,0,0.93,ZA,1689535235
227,grand baie,-20.0182,57.5802,22.47,78,13,1.34,MU,1689535236
228,urangan,-25.3,152.9,18.56,80,53,4.69,AU,1689535236
229,romanovo,52.6182,81.2271,13.66,95,0,3.95,RU,1689535237
230,kamina,-8.7386,24.9906,20.16,44,0,2.3,CD,1689535238
231,vernon,50.2581,-119.2691,33.12,19,7,1.03,CA,1689535023
232,sur,22.5667,59.5289,31.98,57,56,4.59,OM,1689535239
233,san javier,37.8063,-0.8374,29.76,82,75,4.63,ES,1689534993
234,tabas,33.5959,56.9244,39.12,11,0,4.12,IR,1689535239
235,klyuchi,52.2667,79.1667,15.86,78,9,3.69,RU,1689535091
236,conception bay south,47.4999,-52.9981,26.07,71,100,3.87,CA,1689535240
237,verkhnevilyuysk,63.4453,120.3167,5.75,86,3,1.68,RU,1689535241
238,atafu village,-8.5421,-172.5159,28.6,74,96,6.68,TK,1689535241
239,tongchuan,35.0806,109.0897,22.55,46,0,2.32,CN,1689535241
240,novyy urengoy,66.0833,76.6333,10.13,47,20,2.58,RU,1689535242
241,taytay,14.5678,121.1394,25.51,97,75,1.03,PH,1689535243
242,jamestown,42.097,-79.2353,28.34,58,75,4.63,US,1689534785
243,burang,30.25,81.1667,11.8,76,90,2.24,CN,1689535244
244,tartagal,-22.5164,-63.8013,17.98,48,100,1.72,AR,1689535231
245,weno,7.4515,151.8468,27.97,83,100,4.12,FM,1689535068
246,san julian,21.0167,-102.1667,25.72,34,8,2.88,MX,1689535245
247,hell-ville,-13.4,48.2667,25.8,68,66,1.63,MG,1689535246
248,pimentel,-6.8367,-79.9342,26.16,65,75,4.12,PE,1689535246
249,ivanava,52.1451,25.5365,22.66,67,1,4.36,BY,1689535247
250,fort bragg,35.139,-79.006,34.08,54,20,4.12,US,1689535248
251,arteche,12.2645,125.4048,25.2,88,52,2.03,PH,1689535248
252,arraial do cabo,-22.9661,-42.0278,25.98,65,0,4.63,BR,1689535248
253,mikhaylovsk,45.1283,42.0256,16.12,72,40,5.0,RU,1689535249
254,sinop,41.7711,34.8709,16.47,90,1,1.34,TR,1689535250
255,amqui,48.4638,-67.4313,20.44,97,100,3.13,CA,1689535250
256,alofi,-19.0595,-169.9187,20.94,94,100,4.63,NU,1689535251
257,tsiombe,-25.3,45.4833,18.39,70,0,0.67,MG,1689535251
258,sainte-suzanne,-20.9061,55.6089,23.12,73,0,8.23,RE,1689535251
259,mananara,-16.1667,49.7667,20.06,87,79,2.46,MG,1689535252
260,balcarce,-37.8462,-58.2552,7.68,78,87,3.13,AR,1689535252
261,tralee,52.2704,-9.7026,13.56,88,98,5.54,IE,1689535253
262,touros,-5.1989,-35.4608,27.45,68,15,7.66,BR,1689535253
